LSOA Code,LSOA Name,Total samples,Number of exceedances,Exceedance rate (failures/total samples),Latitude,Longitude
E01027030,West Northamptonshire 001C,1,0,0.0,52.39163,-1.10055
E01027031,North Northamptonshire 010A,5,0,0.0,52.4302,-0.44371
E01027032,North Northamptonshire 011A,9,0,0.0,52.42949,-0.54924
E01027033,North Northamptonshire 001A,8,0,0.0,52.60229,-0.51877
E01027034,North Northamptonshire 035A,10,0,0.0,52.30393,-0.58589
E01027035,North Northamptonshire 035B,4,0,0.0,52.29966,-0.5563
E01027037,North Northamptonshire 035C,4,0,0.0,52.31674,-0.59791
E01027025,West Northamptonshire 027D,3,0,0.0,52.22879,-1.07076
E01027039,North Northamptonshire 027B,3,0,0.0,52.32596,-0.62627
E01027040,North Northamptonshire 027C,2,0,0.0,52.32972,-0.61276
E01027041,North Northamptonshire 027D,4,0,0.0,52.32166,-0.61301
E01027042,North Northamptonshire 027E,6,0,0.0,52.31307,-0.62165
E01027043,North Northamptonshire 001B,5,0,0.0,52.54602,-0.60381
E01027044,North Northamptonshire 010B,1,0,0.0,52.50238,-0.44244
E01027045,North Northamptonshire 011B,5,0,0.0,52.46189,-0.58177
E01027046,North Northamptonshire 010C,4,0,0.0,52.48842,-0.48548
E01027047,North Northamptonshire 010D,2,0,0.0,52.48805,-0.46941
E01027048,North Northamptonshire 010E,5,0,0.0,52.48074,-0.49095
E01027013,West Northamptonshire 022D,8,0,0.0,52.25056,-1.14645
E01027003,West Northamptonshire 002D,1,0,0.0,52.3261,-0.90353
E01027004,West Northamptonshire 042B,8,0,0.0,52.19608,-1.20869
E01027005,West Northamptonshire 001A,1,0,0.0,52.41037,-0.94596
E01027006,West Northamptonshire 004C,4,0,0.0,52.35043,-1.12878
E01027007,West Northamptonshire 022A,6,0,0.0,52.25095,-1.18224
E01027008,West Northamptonshire 022B,4,0,0.0,52.24839,-1.16451
E01027009,West Northamptonshire 022C,2,0,0.0,52.26203,-1.186
E01027010,West Northamptonshire 016E,3,0,0.0,52.26038,-1.17521
E01027011,West Northamptonshire 027A,2,0,0.0,52.25836,-1.08745
E01027012,West Northamptonshire 010C,7,0,0.0,52.26577,-1.14781
E01027147,West Northamptonshire 008D,7,0,0.0,52.26837,-0.89933
E01027015,West Northamptonshire 005B,4,0,0.0,52.29874,-1.07236
