recorddate,ETP_DailyInfluent_ML,WTP_DailyInfluent_ML,ObjectId
5/21/1995 2:00:00 PM,362,414,242
5/22/1995 2:00:00 PM,360,480,243
5/23/1995 2:00:00 PM,380,479,244
5/24/1995 2:00:00 PM,448,517,245
5/25/1995 2:00:00 PM,526,522,246
5/26/1995 2:00:00 PM,465,507,247
5/27/1995 2:00:00 PM,477,454,248
5/28/1995 2:00:00 PM,477,416,249
5/29/1995 2:00:00 PM,451,474,250
2/19/1995 1:00:00 PM,320,398,251
2/20/1995 1:00:00 PM,330,476,252
2/21/1995 1:00:00 PM,346,471,253
2/22/1995 1:00:00 PM,324,444,254
2/23/1995 1:00:00 PM,314,490,255
2/24/1995 1:00:00 PM,369,464,256
2/25/1995 1:00:00 PM,340,436,257
2/26/1995 1:00:00 PM,297,413,258
2/27/1995 1:00:00 PM,307,475,259
2/28/1995 1:00:00 PM,309,497,260
3/1/1995 1:00:00 PM,333,468,261
3/2/1995 1:00:00 PM,331,457,262
3/3/1995 1:00:00 PM,334,462,263
3/4/1995 1:00:00 PM,344,422,264
3/5/1995 1:00:00 PM,341,365,265
3/6/1995 1:00:00 PM,364,428,266
3/7/1995 1:00:00 PM,371,455,267
3/8/1995 1:00:00 PM,626,799,268
3/9/1995 1:00:00 PM,478,560,269
3/10/1995 1:00:00 PM,403,438,270
3/11/1995 1:00:00 PM,403,404,271
3/12/1995 1:00:00 PM,323,330,272
3/13/1995 1:00:00 PM,326,394,273
3/14/1995 1:00:00 PM,251,501,274
3/15/1995 1:00:00 PM,266,503,275
3/16/1995 1:00:00 PM,278,552,276
3/17/1995 1:00:00 PM,315,482,277
3/18/1995 1:00:00 PM,321,461,278
3/19/1995 1:00:00 PM,317,416,279
3/20/1995 1:00:00 PM,349,455,280
3/21/1995 1:00:00 PM,353,438,281
3/22/1995 1:00:00 PM,362,443,282
3/23/1995 1:00:00 PM,343,460,283
3/24/1995 1:00:00 PM,360,443,284
3/25/1995 1:00:00 PM,380,397,285
3/26/1995 2:00:00 PM,376,374,286
3/27/1995 2:00:00 PM,391,441,287
3/28/1995 2:00:00 PM,377,444,288
3/29/1995 2:00:00 PM,386,493,289
3/30/1995 2:00:00 PM,374,448,290
3/31/1995 2:00:00 PM,477,492,291
4/1/1995 2:00:00 PM,429,434,292
4/2/1995 2:00:00 PM,420,403,293
4/3/1995 2:00:00 PM,424,434,294
4/4/1995 2:00:00 PM,543,549,295
4/5/1995 2:00:00 PM,627,579,296
4/6/1995 2:00:00 PM,555,576,297
4/7/1995 2:00:00 PM,484,550,298
4/8/1995 2:00:00 PM,628,620,299
4/9/1995 2:00:00 PM,467,451,300
10/27/1995 2:00:00 PM,418,496,301
10/28/1995 2:00:00 PM,395,489,302
10/29/1995 1:00:00 PM,356,425,303
10/30/1995 1:00:00 PM,376,489,304
10/31/1995 1:00:00 PM,417,510,305
11/1/1995 1:00:00 PM,417,514,306
11/2/1995 1:00:00 PM,395,503,307
11/3/1995 1:00:00 PM,402,523,308
11/4/1995 1:00:00 PM,423,584,309
11/5/1995 1:00:00 PM,513,717,310
11/6/1995 1:00:00 PM,625,858,311
11/7/1995 1:00:00 PM,706,885,312
11/8/1995 1:00:00 PM,521,644,313
11/9/1995 1:00:00 PM,413,562,314
11/10/1995 1:00:00 PM,378,534,315
11/11/1995 1:00:00 PM,396,488,316
11/12/1995 1:00:00 PM,360,448,317
11/13/1995 1:00:00 PM,367,512,318
11/14/1995 1:00:00 PM,392,513,319
11/15/1995 1:00:00 PM,375,504,320
11/16/1995 1:00:00 PM,356,504,321
11/17/1995 1:00:00 PM,382,514,322
11/18/1995 1:00:00 PM,359,457,323
11/19/1995 1:00:00 PM,353,417,324
11/20/1995 1:00:00 PM,364,488,325
11/21/1995 1:00:00 PM,433,620,326
11/22/1995 1:00:00 PM,451,615,327
11/23/1995 1:00:00 PM,381,513,328
11/24/1995 1:00:00 PM,374,492,329
11/25/1995 1:00:00 PM,389,472,330
11/26/1995 1:00:00 PM,337,424,331
11/27/1995 1:00:00 PM,367,496,332
11/28/1995 1:00:00 PM,347,488,333
11/29/1995 1:00:00 PM,320,494,334
11/30/1995 1:00:00 PM,346,491,335
12/1/1995 1:00:00 PM,359,504,336
12/2/1995 1:00:00 PM,368,469,337
12/3/1995 1:00:00 PM,330,428,338
12/4/1995 1:00:00 PM,442,598,339
12/5/1995 1:00:00 PM,375,492,340
12/6/1995 1:00:00 PM,360,492,341
12/7/1995 1:00:00 PM,366,491,342
12/8/1995 1:00:00 PM,368,489,343
12/9/1995 1:00:00 PM,369,460,344
12/10/1995 1:00:00 PM,321,420,345
12/11/1995 1:00:00 PM,347,519,346
