recorddate,COD_mg.L-1,BOD_mg.L-1,Ammonia_mg.L-1,Total_KjeldahlNitrogen_mg.L-1,Nitrogentotal_mg.L-1,NitrateplusNitrite_mg.L-1,ObjectId
10/26/2014 1:00:00 PM,31,NULL,0.05,5.7,NULL,NULL,119
10/27/2014 1:00:00 PM,24,NULL,0.24,2.0,NULL,NULL,120
10/28/2014 1:00:00 PM,28,NULL,0.10,4.6,NULL,NULL,121
10/28/2014 8:00:00 PM,NULL,3,0.20,2.2,13,10,122
10/29/2014 1:00:00 PM,25,NULL,0.12,3.0,NULL,NULL,123
10/30/2014 1:00:00 PM,24,NULL,0.12,2.7,NULL,NULL,124
11/2/2014 1:00:00 PM,27,NULL,0.11,4.0,NULL,NULL,125
11/4/2014 1:00:00 PM,19,NULL,0.10,3.0,NULL,NULL,126
11/5/2014 1:00:00 PM,26,NULL,0.07,3.0,NULL,NULL,127
11/5/2014 8:00:00 PM,NULL,2,0.20,NULL,NULL,NULL,128
11/6/2014 1:00:00 PM,21,NULL,0.15,1.9,NULL,NULL,129
11/9/2014 1:00:00 PM,24,NULL,0.11,1.4,NULL,NULL,130
11/10/2014 1:00:00 PM,12,NULL,0.09,1.6,NULL,NULL,131
11/11/2014 1:00:00 PM,17,NULL,0.10,2.0,NULL,NULL,132
11/12/2014 1:00:00 PM,23,NULL,0.11,2.8,NULL,NULL,133
11/13/2014 1:00:00 PM,22,2,0.09,2.0,11,9,134
11/16/2014 1:00:00 PM,18,NULL,0.10,2.0,NULL,NULL,135
11/17/2014 1:00:00 PM,15,NULL,0.07,2.5,NULL,NULL,136
11/18/2014 1:00:00 PM,21,NULL,0.10,2.6,NULL,NULL,137
11/19/2014 1:00:00 PM,27,NULL,0.07,2.6,NULL,NULL,138
11/19/2014 8:00:00 PM,NULL,2,0.20,NULL,NULL,NULL,139
11/20/2014 1:00:00 PM,17,NULL,0.05,3.9,NULL,NULL,140
11/23/2014 1:00:00 PM,22,NULL,0.06,3.7,NULL,NULL,141
11/24/2014 1:00:00 PM,20,NULL,0.09,4.0,NULL,NULL,142
11/25/2014 1:00:00 PM,18,NULL,0.04,2.2,NULL,NULL,143
11/25/2014 8:00:00 PM,NULL,2,0.10,1.2,14,13,144
11/26/2014 1:00:00 PM,22,NULL,0.05,2.2,NULL,NULL,145
11/27/2014 1:00:00 PM,16,NULL,0.06,1.8,NULL,NULL,146
11/30/2014 1:00:00 PM,16,NULL,0.09,1.5,NULL,NULL,147
12/1/2014 1:00:00 PM,16,NULL,0.07,3.7,NULL,NULL,148
12/2/2014 1:00:00 PM,15,NULL,0.08,2.5,NULL,NULL,149
12/3/2014 1:00:00 PM,16,NULL,0.08,3.0,NULL,NULL,150
2/3/2015 1:00:00 PM,23,NULL,0.09,1.7,NULL,NULL,151
2/4/2015 1:00:00 PM,33,NULL,0.07,3.0,NULL,NULL,152
2/4/2015 8:00:00 PM,NULL,2,0.10,2.3,14,12,153
2/5/2015 1:00:00 PM,30,NULL,0.07,2.3,NULL,NULL,154
2/8/2015 1:00:00 PM,28,NULL,0.07,2.3,NULL,NULL,155
2/9/2015 1:00:00 PM,28,NULL,0.05,1.8,NULL,NULL,156
2/10/2015 1:00:00 PM,29,NULL,0.07,2.0,NULL,NULL,157
2/10/2015 8:00:00 PM,NULL,2,0.10,NULL,NULL,NULL,158
2/11/2015 1:00:00 PM,25,NULL,0.06,2.8,NULL,NULL,159
2/12/2015 1:00:00 PM,26,NULL,0.07,2.0,NULL,NULL,160
2/14/2015 1:00:00 PM,23,NULL,0.06,1.4,NULL,NULL,161
2/15/2015 1:00:00 PM,21,NULL,0.08,1.6,NULL,NULL,162
2/16/2015 1:00:00 PM,27,NULL,0.07,2.9,NULL,NULL,163
2/16/2015 8:00:00 PM,NULL,2,0.10,1.8,13,11,164
2/17/2015 1:00:00 PM,28,NULL,0.08,3.0,NULL,NULL,165
2/18/2015 1:00:00 PM,29,NULL,0.08,3.5,NULL,NULL,166
2/19/2015 1:00:00 PM,32,NULL,0.08,2.9,NULL,NULL,167
2/22/2015 1:00:00 PM,32,NULL,0.07,2.1,NULL,NULL,168
2/22/2015 8:00:00 PM,NULL,4,0.10,NULL,NULL,NULL,169
2/23/2015 1:00:00 PM,27,NULL,0.08,2.1,NULL,NULL,170
2/24/2015 1:00:00 PM,24,NULL,0.07,2.8,NULL,NULL,171
2/25/2015 1:00:00 PM,28,NULL,0.07,2.0,NULL,NULL,172
2/26/2015 1:00:00 PM,34,NULL,0.09,3.9,NULL,NULL,173
3/1/2015 1:00:00 PM,30,NULL,0.08,1.7,NULL,NULL,174
3/2/2015 1:00:00 PM,28,NULL,0.06,1.9,NULL,NULL,175
3/2/2015 8:00:00 PM,NULL,2,0.10,1.3,17,15,176
3/3/2015 1:00:00 PM,28,NULL,0.07,24.0,NULL,NULL,177
3/4/2015 1:00:00 PM,35,NULL,0.09,1.7,NULL,NULL,178
3/5/2015 1:00:00 PM,39,NULL,0.09,1.7,NULL,NULL,179
3/6/2015 1:00:00 PM,29,NULL,0.09,2.3,NULL,NULL,180
3/9/2015 1:00:00 PM,35,NULL,0.09,3.2,NULL,NULL,181
3/10/2015 1:00:00 PM,28,NULL,0.09,2.0,NULL,NULL,182
3/10/2015 8:00:00 PM,NULL,4,0.10,NULL,NULL,NULL,183
3/11/2015 1:00:00 PM,35,NULL,0.08,2.5,NULL,NULL,184
3/12/2015 1:00:00 PM,38,NULL,0.06,1.9,NULL,NULL,185
3/15/2015 1:00:00 PM,28,NULL,0.07,3.7,NULL,NULL,186
3/16/2015 1:00:00 PM,28,NULL,0.05,1.7,NULL,NULL,187
3/17/2015 1:00:00 PM,27,NULL,0.07,1.6,NULL,NULL,188
3/18/2015 1:00:00 PM,33,NULL,0.80,1.4,NULL,NULL,189
3/18/2015 8:00:00 PM,NULL,3,0.10,1.7,12,11,190
3/19/2015 1:00:00 PM,30,NULL,0.08,3.1,NULL,NULL,191
3/22/2015 1:00:00 PM,33,NULL,0.09,2.0,NULL,NULL,192
3/23/2015 1:00:00 PM,35,NULL,0.08,3.6,NULL,NULL,193
3/24/2015 1:00:00 PM,31,NULL,0.08,1.4,NULL,NULL,194
3/25/2015 1:00:00 PM,34,NULL,0.08,1.7,NULL,NULL,195
3/26/2015 1:00:00 PM,33,NULL,0.08,1.2,NULL,NULL,196
3/26/2015 8:00:00 PM,NULL,3,0.10,NULL,NULL,NULL,197
3/29/2015 1:00:00 PM,40,NULL,0.08,1.1,NULL,NULL,198
