Date [YYYY-MM-DD],Digester 1 7d avg VS loading rate [kgVS/m3-d],Digester 2 7d avg VS loading rate [kgVS/m3-d]
2022-03-21,2.000730772436784,2.0178219057610183
2022-03-22,2.155244523542133,2.173262327121603
2022-03-23,2.177415926968231,2.191755898754846
2022-03-24,2.3759313263032205,2.3943062624967797
2022-03-25,2.3407257123271483,2.3516380576245006
2022-03-26,2.3287092177908844,2.339621563088237
2022-03-27,2.339425361351324,2.3503377066486766
2022-03-28,2.238925065847849,2.2317100478752283
2022-03-29,2.2655529634426093,2.2564763628870614
2022-03-30,2.2118695271867623,2.197841823652798
2022-03-31,2.07215704250379,2.0589645364852207
2022-04-01,2.010374923978087,2.0047656284614734
2022-04-02,2.035873757644021,2.0302644621274077
2022-04-03,2.0573671097319335,2.0517578142153194
2022-04-04,2.022432260818282,2.015812614021278
2022-04-05,1.8375282304078753,1.8323957115261906
2022-04-06,2.077696452137469,2.0818230318097846
2022-04-07,1.996880585034813,1.999730919589363
2022-04-08,2.0551698406102576,2.065888034440292
2022-04-09,2.0336710476344337,2.0443892414644678
2022-04-10,2.0075138018102576,2.0182319956402917
2022-04-11,2.0896048109101035,2.1140325479470397
2022-04-12,2.4242095273667053,2.4665565795607676
2022-04-13,2.204007003226713,2.25966991010076
2022-04-14,2.288702656233101,2.3418099130592074
2022-04-15,2.315737350329428,2.3649589325540883
2022-04-16,2.330168953775582,2.379390536000242
2022-04-17,2.3352673291645933,2.3844889113892536
2022-04-18,2.206575098698464,2.2524962863652727
2022-04-19,1.9275325989827177,1.9545464519447546
2022-04-20,1.814048552830846,1.6686955436526703
2022-04-21,1.7142931759586129,1.2980065330611674
2022-04-22,1.3460978534444765,0.9555679802082707
2022-04-23,1.3483786681521688,0.9578487949159632
2022-04-24,1.3604291570576632,0.9698992838214576
2022-04-25,1.4464273305201385,1.0812333184996417
2022-04-26,1.4837220530665671,1.1183014896323338
2022-04-27,2.1243997261590284,1.9159757640036095
2022-04-28,2.8103393747509053,2.872911689020523
2022-04-29,2.9948363514981575,3.0283207290644794
2022-04-30,2.9918798040959595,3.025364181662282
2022-05-01,2.9895693215201358,3.0230536990864576
2022-05-02,2.997540116831009,3.0061966500173427
2022-05-03,3.054871371069388,3.063796357976766
2022-05-04,2.4203300179799463,2.4287757312596137
2022-05-05,1.7366014694671768,1.7439051683174387
2022-05-06,1.7716858795612522,1.77970733092666
2022-05-07,1.7066349997898236,1.7146564511552314
2022-05-08,1.6418291828403733,1.6498506342057808
2022-05-09,1.5658008941265014,1.5606698090207516
2022-05-10,1.3724324093702014,1.369721524405623
2022-05-11,1.429342455182427,1.435077646945046
2022-05-12,1.5136814142157835,1.5294785420655352
2022-05-13,1.4852461853512886,1.4989576504640962
2022-05-14,1.5293538708545853,1.543065335967393
2022-05-15,1.6111936422392006,1.6249051073520084
2022-05-16,1.8025722260592763,1.8159579422308336
2022-05-17,2.241615844251228,2.2545163311333876
2022-05-18,2.31149110835912,2.3161646105507705
2022-05-19,2.188694009335843,2.192630576255366
2022-05-20,2.175698310287248,2.1753759967105544
2022-05-21,2.1553439422520833,2.1550216286753896
2022-05-22,2.102222883834501,2.1019005702578073
2022-05-23,1.9273129291075466,1.9285720384177283
2022-05-24,1.383043616464748,1.3833522576099777
2022-05-25,1.222224477013939,1.2286946819926547
2022-05-26,1.3763877404570415,1.3712464370638375
2022-05-27,1.4666391040175044,1.466090727200078
2022-05-28,1.4911146120614605,1.490566235244034
2022-05-29,1.50617406140212,1.5056256845846934
2022-05-30,1.2623074855556713,1.2640137497674058
2022-05-31,1.281061010994145,1.283733552539921
2022-06-01,1.1452630167709792,1.1434584184729766
2022-06-02,1.1974231386146812,1.2091532865985055
2022-06-03,1.2317909786884058,1.246880281768737
2022-06-04,1.2136923341345598,1.2287816372148908
2022-06-05,1.1968506128378567,1.2119399159181874
2022-06-06,1.40192376161294,1.4218824454991477
2022-06-07,1.6837536771296715,1.7013028389670317
2022-06-08,1.6658044682181004,1.669991276124757
2022-06-09,1.263550200894654,1.2647379771536975
2022-06-10,1.149415312717352,1.1482514042233074
2022-06-11,1.1639616772096597,1.162797768715615
2022-06-12,1.1804280183964728,1.1792641099024284
2022-06-13,1.1276284871978375,1.1216988051098549
2022-06-14,0.8460828274092036,0.8412884215929944
2022-06-15,0.8663198586221776,0.8746591137734269
2022-06-16,1.226246546618524,1.224651543649608
2022-06-17,1.3765838614522081,1.3786660311280117
2022-06-18,1.3627424151049554,1.364824584780759
2022-06-19,1.3500802544675927,1.3521624241433963
2022-06-20,1.4349210946946653,1.4314915128394008
2022-06-21,1.7357377861813563,1.727550630574688
2022-06-22,2.10737194583142,2.0999739825114374
2022-06-23,2.166452941342342,2.16515469576535
2022-06-24,2.295715234558526,2.296111221256859
2022-06-25,2.3082074929365484,2.3086034796348804
2022-06-26,2.302905189042043,2.3033011757403754
2022-06-27,2.050081919839846,2.054071188898616
2022-06-28,1.7249467934706728,1.7334110036897667
2022-06-29,1.3393714665609646,1.3472751774566176
2022-06-30,1.0350819915066458,1.0386121406691786
2022-07-01,0.712306541291434,0.7104916793327417
2022-07-02,0.6843940138408847,0.6825791518821924
2022-07-03,0.6620432613178077,0.6602283993591154
2022-07-04,0.6186326261362637,0.6186326261362638
2022-07-05,0.7112000531871236,0.7129442745755138
2022-07-06,0.9538899011365168,0.9532673423184282
2022-07-07,1.3158365806966414,1.05180793611215
2022-07-08,1.3223029457076305,1.058274301123139
2022-07-09,1.3206358667449931,1.0566072221605016
2022-07-10,1.3262187084065318,1.06219006382204
2022-07-11,1.7795140979757622,1.2419342604242376
2022-07-12,1.9657453932985292,1.1359234779893834
2022-07-13,2.0217132017403445,0.8591187412135018
2022-07-14,2.1534647327516483,0.7346333336923078
2022-07-15,2.6620499331824172,0.7530802205054944
2022-07-16,2.6563669730901096,0.7473972604131867
2022-07-17,2.651754827384615,0.7427851147076922
2022-07-18,2.6132643941494504,0.6699936931824176
2022-07-19,2.9957121203428563,0.6826298122549451
2022-07-20,3.491567503841758,0.7575176192967031
2022-07-21,3.6943312513142854,0.8125412847912088
2022-07-22,3.33327368156923,0.7778825528571428
2022-07-23,3.3250797206197795,0.7696885919076923
2022-07-24,3.3204220503428568,0.7650309216307692
2022-07-25,3.008146845068132,0.7606078976131868
2022-07-26,2.7137433356263734,0.7141925938593406
2022-07-27,2.3971307969494506,0.641161235701099
2022-07-28,2.294887107608791,0.5374288717142857
2022-07-29,2.7479428108395605,0.4885188051428571
2022-07-30,2.749727212250549,0.4903032065538461
2022-07-31,2.732143666263736,0.4727196605670329
2022-08-01,2.710252071415385,0.4508280657186813
2022-08-02,2.3522665203308235,0.5747850198362093
2022-08-03,1.843172578950604,1.1946049684340116
2022-08-04,2.212252117891084,2.3816276136078165
2022-08-05,2.532402445992183,2.976841203739685
2022-08-06,2.540514842036139,2.984953599783641
2022-08-07,2.5648880347965783,3.0093267925440803
2022-08-08,2.997154092392183,3.1638689498935313
2022-08-09,3.3120141720261946,3.053220637547432
2022-08-10,3.7823502041668537,2.481502456800179
2022-08-11,2.9837866970505496,1.3298177882505495
2022-08-12,2.4023533195956044,0.7491815616263737
2022-08-13,2.4850008558417582,0.8318290978725276
2022-08-14,2.494762426408791,0.8415906684395604
2022-08-15,2.4996747050065937,0.7203595859120878
2022-08-16,2.711414001120879,0.7287661630989011
2022-08-17,2.655629563151648,0.7209961866065935
2022-08-18,3.0006134911692306,0.6863498014725274
2022-08-19,2.995909264048352,0.7079448520747252
2022-08-20,2.9379269716527476,0.6499625596791209
2022-08-21,2.9481824590505497,0.6602180470769231
2022-08-22,3.0658601615472527,0.6607239603956044
2022-08-23,3.0487106673054947,0.7379403703208791
2022-08-24,3.022995108747253,0.7399995172043956
2022-08-25,3.068176685010989,0.7732620559296703
2022-08-26,2.9666965339076925,0.7642570347956044
2022-08-27,2.9531332121142855,0.7506937130021978
2022-08-28,2.949125435340659,0.7466859362285714
2022-08-29,2.8027460254857144,0.7486089417758243
2022-08-30,2.335265106681319,0.7459819823120879
2022-08-31,2.2454317058599833,0.9100847582630934
2022-09-01,2.3181021084665767,0.9043287522982583
2022-09-02,2.0369266807039392,0.8942237495905659
2022-09-03,2.0312487460885547,0.8885458149751815
2022-09-04,2.023518319477566,0.8808153883641925
2022-09-05,1.5631141272050382,0.7931478312389176
2022-09-06,1.9475912457808622,0.7334277274147418
2022-09-07,2.1558723278593406,0.5555642567384614
2022-09-08,1.7115480155428568,0.5425742871296703
2022-09-09,1.9237551713142855,0.5502583894329669
2022-09-10,1.9165279136571427,0.5430311317758241
2022-09-11,1.9162603553010986,0.5427635734197801
2022-09-12,2.4309631759824173,0.604422389731868
2022-09-13,2.3376862544263735,0.5833267308395603
2022-09-14,2.392974845323077,0.547270225287912
2022-09-15,2.6078001557054944,0.5538807518197802
2022-09-16,3.0222192479032968,0.507060982021978
2022-09-17,3.0154166711912085,0.5002584053098901
2022-09-18,3.0022698944483515,0.487111628567033
2022-09-19,3.1357601857934063,0.49650777022417586
2022-09-20,3.9101368010989006,0.5447728512000001
2022-09-21,4.030228946294505,0.6022916597802198
2022-09-22,4.229081689534065,0.6061459091912089
2022-09-23,4.31974335283956,0.6117289512747253
2022-09-24,4.31030411661978,0.602289715054945
2022-09-25,4.298451950654945,0.5904375490901099
2022-09-26,4.317853897485714,0.5900747493890109
2022-09-27,3.8659870455516483,0.5380155033538462
2022-09-28,4.260871391529671,0.493365114
2022-09-29,4.573826557239561,0.5051156805978022
2022-09-30,4.171381209890423,0.9978216855557304
2022-10-01,4.16821414288383,0.994654618549137
2022-10-02,4.166827217951961,0.9932676936172689
2022-10-03,3.5650429663519616,1.5915794466062798
2022-10-04,2.8667402342816324,2.2072426986238622
2022-10-05,1.7690859562992145,2.7586963624524334
2022-10-06,0.7899924439695442,2.9939783583601263
2022-10-07,0.4597804422065934,2.831060388035165
2022-10-08,0.45962231997362635,2.8309022658021976
2022-10-09,0.4591870893010989,2.83046703512967
2022-10-10,0.4601654057142857,2.670015224501099
2022-10-11,0.7862407493862056,2.231118065321487
2022-10-12,1.338295104924667,1.6459233709346734
2022-10-13,1.5949915111050552,1.6426098160773626
2022-10-14,1.5943123501775827,1.3303258080905493
2022-10-15,1.6120744512237362,1.348087909136703
2022-10-16,1.6438566526874727,1.3798701106004394
2022-10-17,1.6397849481116484,1.3322039780949448
2022-10-18,1.8224384032822682,1.4749017989331163
2022-10-19,1.4692787340602902,1.5140073989858638
2022-10-20,1.6312976682451052,1.404746024185664
2022-10-21,1.8185328668439198,1.5913346990725639
2022-10-22,1.8388499619647989,1.6116517941934432
2022-10-23,1.8397984272790846,1.612600259507729
2022-10-24,1.8621935044922715,1.236826787692344
2022-10-25,1.2783985419750064,0.8423138664381804
2022-10-26,1.0024315409859954,0.737761126020598
2022-10-27,0.6737854216098034,0.673138897897889
2022-10-28,0.6766597029178552,0.6766242091261009
2022-10-29,0.7115049421178552,0.7114694483261008
2022-10-30,0.7492128854980749,0.7491773917063206
2022-10-31,0.8211151580582785,0.8250016233571061
2022-11-01,1.1848615234936857,1.182809522967853
2022-11-02,1.615723769251029,1.6003755334918282
2022-11-03,1.8620211452334396,1.848010768586341
2022-11-04,1.8896650007904705,1.8840241914996394
2022-11-05,1.901145880271789,1.8955050709809582
