Date [YYYY-MM-DD],Digester 1 calculated HRT [days],Digester 2 calculated HRT [days]
2022-06-10,27.33640541335238,27.33844492639661
2022-06-11,43.788240277755456,43.815376410053844
2022-06-12,40.68870684965577,40.67588702729478
2022-06-13,23.553473767467025,23.547644132413172
2022-06-14,27.54023575027011,27.52032230186374
2022-06-15,34.283023949558924,34.30843441712975
2022-06-16,16.79052703288161,16.837644914091104
2022-06-17,21.40930849787556,21.269440312246157
2022-06-18,24.087646720770312,24.077017116643248
2022-06-19,25.335660646220603,25.336229524338187
2022-06-20,18.217559919984005,18.424850717489875
2022-06-21,15.40139427081566,15.49901017963295
2022-06-22,14.105200735661878,14.094674108657756
2022-06-23,17.248545227696255,17.13750616475869
2022-06-24,17.396637418447252,17.26302926062466
2022-06-25,22.550256168324797,22.636042397563088
2022-06-26,36.55739730271905,35.78707270259263
2022-06-27,25.694207561240564,25.80929872695367
2022-06-28,33.08258228915712,33.08258228915712
2022-06-29,33.47600773495605,33.47600773495605
2022-06-30,37.13170023393314,37.13170023393314
2022-07-01,38.70172963983873,38.70172963983873
2022-07-02,39.82185393446901,39.82185393446901
2022-07-03,39.64898715076364,39.64898715076364
2022-07-04,38.07695446224708,38.07695446224708
2022-07-05,27.03232009398783,26.85218534344015
2022-07-06,18.265746538304928,18.36717391082479
2022-07-07,14.828012947926519,25.101985984718613
2022-07-08,13.83211161739477,33.146443147995825
2022-07-09,27.173033555076156,55.757836407914795
2022-07-10,30.065806464516584,69.58657502393082
2022-07-11,15.596838558256653,35.22294040412873
2022-07-12,15.174520077671318,37.532641127494394
2022-07-13,15.235646890847008,37.96582519678972
2022-07-14,12.054859879483077,38.55054459761268
2022-07-15,14.205853473405263,38.36450079149507
2022-07-16,24.577309970318925,45.78738064850034
2022-07-17,27.31394290473227,39.97574935741443
2022-07-18,18.670011995798664,40.029800893494716
2022-07-19,11.149279264052996,40.36517386644727
2022-07-20,9.53054528032442,39.10184341008692
2022-07-21,11.738893192928996,39.65631276946083
2022-07-22,20.41952075020389,41.29276491551208
2022-07-23,19.38406865386214,47.14249809315848
2022-07-24,32.27544712691368,40.76148524768478
2022-07-25,14.154729097399652,40.96821842461275
2022-07-26,18.371975788358867,41.97512301068107
2022-07-27,13.033354125743939,48.588521393884776
2022-07-28,12.131511089785699,46.24611794077734
2022-07-29,14.682499708134493,55.718033150001006
2022-07-30,25.990166776341173,89.845036662995
2022-07-31,23.810504488324057,50.261045042494864
2022-08-01,17.662555646153297,57.92855886507651
2022-08-02,49.43612107839912,38.76295915763998
2022-08-03,50.07927935146563,12.77541766240565
2022-08-04,4.719589808367458,4.397769251904125
2022-08-05,4.2868585509577075,5.559788179529029
2022-08-06,18.900587046999668,56.76424288647538
2022-08-07,22.52844845681272,56.358091893967085
2022-08-08,11.069327333326498,21.61855184119419
2022-08-09,11.27605950696495,46.05015950570864
2022-08-10,8.859894032995767,34.84695085159247
2022-08-11,15.552481098555294,41.95461138431022
2022-08-12,13.190744389909442,48.353185713189845
2022-08-13,26.244395791910595,52.11601107450804
2022-08-14,26.202745947801777,51.989776730303745
2022-08-15,15.338809307134515,40.40468587439128
2022-08-16,10.62362860599828,37.70571644301163
2022-08-17,10.412962455522392,34.76088776783184
2022-08-18,9.116926145932888,29.636146812510678
2022-08-19,11.373603020148646,31.6239701714929
2022-08-20,15.02343334331213,48.649091810521156
2022-08-21,23.420786116307884,73.36858517013656
2022-08-22,12.359237835693015,30.97814089920316
2022-08-23,9.605719045320628,23.607544233128756
2022-08-24,10.36168874178224,28.46775987653016
2022-08-25,9.994053661075398,29.982858937927617
2022-08-26,13.496174997135695,33.957962716998956
2022-08-27,15.10616995057526,37.70737271142497
2022-08-28,19.652958979739314,45.736158655216215
2022-08-29,12.975836138426299,42.37287417408912
2022-08-30,21.63878846085411,20.651775580583877
2022-08-31,14.676056592663366,17.975279598030188
2022-09-01,10.785512742645246,34.22872735148302
2022-09-02,11.564955551427758,35.03179248347512
2022-09-03,17.666553553613117,36.229182823024296
2022-09-04,20.71412764500528,33.88960142210361
2022-09-05,23.30444812718464,34.038741387268914
2022-09-06,13.164249231869096,33.67823193385911
2022-09-07,11.065475350553918,30.232020993859553
2022-09-08,14.206558712673514,36.965434043463205
2022-09-09,16.843741116384194,40.34203441503237
2022-09-10,23.861459280801522,43.280695928021615
2022-09-11,22.30429348178778,38.58172716218172
2022-09-12,12.338102128758058,46.8901791174544
2022-09-13,12.965842163045249,48.74576545535489
2022-09-14,10.998285621078264,46.56213291130753
2022-09-15,12.285841480626106,48.59402169431504
2022-09-16,10.965836126497688,50.16706636440675
2022-09-17,16.32210731603757,46.759935040234986
2022-09-18,25.304582106233042,42.329003232594346
2022-09-19,12.90814086775664,41.858474539891965
2022-09-20,8.847385847250646,31.820880362350728
2022-09-21,11.798257136044233,38.89106565839804
2022-09-22,10.29756124472966,42.60205262719387
2022-09-23,11.141726633239225,42.599939030967256
2022-09-24,20.24712696227601,42.96232842283614
2022-09-25,20.258114938024164,41.69989667278834
2022-09-26,12.875233068954618,42.220760561143265
2022-09-27,11.803285299555107,42.75480158128042
2022-09-28,11.340252406313455,44.81699517822912
2022-09-29,10.808323413370964,43.020452465821805
2022-09-30,23.39784049338543,18.873559275307258
2022-10-01,48.63255796525807,17.475964324921325
2022-10-02,49.68513687934168,24.82676456611104
2022-10-03,48.09585833097072,13.122799695127888
2022-10-04,48.48425392549405,10.661887691480532
2022-10-05,45.63891005520118,13.014782502320918
2022-10-06,41.97717505959597,12.017064408943495
2022-10-07,53.75065273965754,18.53338746983335
2022-10-08,48.44048612308254,30.86787881122613
2022-10-09,51.50324910227856,35.37532594961389
2022-10-10,47.22807458798119,15.048976755938572
2022-10-11,18.61581997121002,25.82588681200556
2022-10-12,11.21888942846569,50.84443771942014
2022-10-13,20.341639682583217,20.021892216420536
2022-10-14,40.69193670994022,13.2381338531013
2022-10-15,43.78840049043548,19.268783119369704
2022-10-16,39.091161056678104,18.29407358532731
2022-10-17,38.65468287448401,14.99745250964371
2022-10-18,18.519969017502447,23.440329298079345
2022-10-19,11.17886477733877,35.815083133254674
2022-10-20,16.73357999873553,24.873920331018457
2022-10-21,18.29907122822133,18.319517855461797
2022-10-22,17.43873370172707,17.36318030535813
2022-10-23,24.170037760935987,24.46151212956945
2022-10-24,24.239777581793,24.827793249213457
2022-10-25,107.01223518628805,107.01223518628805
2022-10-26,45.73373578210752,38.36792100211812
2022-10-27,18.53630218961254,18.577787890669214
2022-10-28,16.778574484676163,16.780523057056513
2022-10-29,21.026337651544246,21.02485378740807
2022-10-30,20.981311601296948,20.97740097722937
2022-10-31,17.026480461141087,16.85066181470967
2022-11-01,13.874178977368821,14.019077794753027
2022-11-02,13.636729142534154,13.954711190368682
2022-11-03,14.821124554344564,14.791541463796042
2022-11-04,14.119148687803836,13.90427413098281
2022-11-05,20.544486418509848,20.2740197798791
2022-11-06,104.8492128774561,102.68020157551467
2022-11-07,17.04367162911069,16.974977707677457
2022-11-08,16.810681230833655,17.022826669122704
2022-11-09,13.487009981088887,13.492617868115746
2022-11-10,19.651302230660047,19.74865250263641
2022-11-11,26.175415283800387,26.17894649756638
2022-11-12,27.712470197467706,27.708836245282242
2022-11-13,28.925544594826107,28.92884698497288
2022-11-14,26.648021704592495,26.89932022255302
2022-11-15,35.60077710454587,35.79761709065944
2022-11-16,20.652603751612457,20.344750215086023
2022-11-17,19.261806931416547,19.18702510689655
2022-11-18,16.960644244666355,17.002743913114877
2022-11-19,27.06069300223192,27.059274934290233
2022-11-20,25.54533171463361,25.539616945142
2022-11-21,20.407530675930264,20.02363113856019
2022-11-22,15.66565193646792,15.717962963483288
2022-11-23,15.686361327904994,15.842575479999676
2022-11-24,19.497265559513604,19.498018677319823
2022-11-25,19.28427264282816,19.28618798144657
2022-11-26,21.165836970396406,21.138156106877027
2022-11-27,23.727825082965797,23.754930541937284
2022-11-28,16.354372831035,16.559547918568065
2022-11-29,13.560097744797961,13.386356186542738
2022-11-30,14.06303745750078,13.875202162189224
2022-12-01,18.176953658131833,18.166485682868274
2022-12-02,15.268538500950449,15.12362746163289
2022-12-03,22.292685520316308,22.347280078463346
2022-12-04,24.85657871896243,24.858767748409903
2022-12-05,23.461677290839898,23.442598281941784
2022-12-06,16.636854190067254,16.654836865902457
2022-12-07,14.121811607850676,14.086904438596596
2022-12-08,16.604853280731845,16.439089880789332
2022-12-09,16.702585629375314,17.0169318373208
2022-12-10,22.721982853760732,22.718854300758796
2022-12-11,22.306039022091873,22.302547908559337
2022-12-12,19.555830127711598,19.58435943973198
2022-12-13,16.00432776921874,16.193558200983034
2022-12-14,15.103808061975753,15.100560619502756
2022-12-15,19.737837046787337,19.68095300074363
2022-12-16,19.086504418208868,18.621631830846148
2022-12-17,23.57764867258691,23.28997974518689
2022-12-18,23.521216362607035,23.44859721784762
2022-12-19,18.794506899414458,18.294225075179394
2022-12-20,18.29037474550458,18.157687258323804
2022-12-21,16.095925417503064,16.056885641059743
2022-12-22,23.341787027313604,23.660937143106
2022-12-23,28.696524602524384,28.811267623815375
2022-12-24,30.07514562928858,30.088072732616464
2022-12-25,31.27653887245187,31.173381695348567
2022-12-26,32.73070664074918,32.73070664074918
2022-12-27,18.51307061647753,18.42711592451325
2022-12-28,14.44293973451404,14.475523663493961
2022-12-29,15.445039460259279,15.65914294350526
2022-12-30,19.243932174729096,19.1141519991838
2022-12-31,25.06030998191757,25.058435661005618
