Date [YYYY-MM-DD],Digester 1 pH [s.u.],Digester 2 pH [s.u.]
2022-12-14,6.94,6.77
2022-12-15,6.91,6.85
2022-12-16,7.0,6.91
2022-12-17,7.09,6.97
2022-12-18,7.02,6.99
2022-12-19,7.04,6.93
2022-12-20,6.97,7.02
2022-12-21,7.01,6.91
2022-12-22,7.02,6.98
2022-12-23,7.06,6.96
2022-12-24,6.97,6.9
2022-12-25,6.99,6.94
2022-12-26,7.06,6.98
2022-12-27,7.05,6.96
2022-12-28,7.03,6.94
2022-12-29,7.02,6.93
2022-12-30,7.06,7.04
2022-12-31,7.18,7.1
