Collected date,Month,Total phosphorus [ug/L],Collection site
2024-09-17,Sep,38.3,4001310902
2024-10-12,Oct,222.0,4001302502
2024-03-25,Mar,13.0,6018300202
2024-03-25,Mar,9.7,6018000302
2024-03-25,Mar,22.1,12000200902
2024-03-25,Mar,19.4,12000200402
2024-05-27,May,17.2,3003601002
2024-05-27,May,32.6,8013500502
2024-05-23,May,604.0,3005703102
2024-05-23,May,170.0,3005703502
2024-05-23,May,835.0,3005703202
2024-05-23,May,77.6,3005700702
2024-05-27,May,5.7,3003600902
2024-05-27,May,9.1,3003000202
2024-05-27,May,26.2,3001500202
2024-06-17,Jun,25.0,3001500202
2024-06-17,Jun,7.2,8013500602
2024-03-25,Mar,19.7,12000201002
2024-10-12,Oct,261.0,4001304402
2024-10-12,Oct,86.0,4001304202
2024-10-15,Oct,4.7,8012303002
2024-10-15,Oct,49.7,8012305602
2024-10-15,Oct,2.2,8012300202
2024-10-15,Oct,49.5,8010700502
2024-10-15,Oct,33.2,8010300102
2024-06-03,Jun,16.3,6006000702
2024-03-25,Mar,9.7,17003700302
2024-09-16,Sep,6.0,8012305702
2024-05-21,May,43.7,3005703602
2024-05-23,May,192.0,3005701002
2024-02-13,Feb,30.8,12002700102
2024-02-13,Feb,51.6,12001700102
2024-07-16,Jul,30.4,4001305702
2024-07-16,Jul,354.0,4001308302
2024-09-16,Sep,4.9,8012305302
2024-09-16,Sep,21.9,8012304802
2024-04-15,Apr,20.3,3001700202
2024-10-21,Oct,95.7,4001306402
2024-10-21,Oct,170.0,4001301602
2024-10-21,Oct,0.5,4001309402
2024-10-21,Oct,37.4,4001304402
2024-07-16,Jul,284.0,4001308102
2024-07-16,Jul,233.0,4001305802
2024-07-17,Jul,324.0,4001308202
2024-07-16,Jul,171.0,4001310902
2024-07-16,Jul,229.0,4001307302
2024-07-17,Jul,588.0,4001303302
2024-07-16,Jul,74.0,16006300202
2024-04-15,Apr,33.4,3001600302
2024-07-16,Jul,220.0,16007200102
2024-05-27,May,11.2,3001700202
2024-04-15,Apr,16.0,3003600502
2024-04-15,Apr,26.4,3003601002
2024-04-15,Apr,52.6,3001500202
2024-04-15,Apr,110.0,8013500302
2024-05-21,May,106.0,3005703702
2024-05-21,May,12.4,3005300102
2024-05-21,May,15.7,3005702102
2024-05-21,May,35.4,3004700102
2024-05-21,May,58.6,3005703002
2024-05-21,May,23.7,3005703402
2024-05-21,May,28.6,3005703302
2024-05-21,May,17.1,3004900102
2024-09-17,Sep,22.5,4001305702
2024-09-17,Sep,293.0,16007200102
2024-09-16,Sep,14.3,8012305202
2024-04-09,Apr,35.1,8012305902
2024-04-09,Apr,25.3,8012304402
2024-12-02,Dec,7.0,12000201002
2024-08-01,Aug,164.0,8005603902
2024-12-02,Dec,32.9,12000200902
2024-12-02,Dec,26.3,12000200402
2024-12-02,Dec,8.6,6018000302
2024-10-21,Oct,0.8,4001309802
2024-10-21,Oct,10.7,4001309502
2024-10-21,Oct,75.2,4001302502
2024-10-21,Oct,0.9,4001306602
2024-10-21,Oct,2.9,4001309702
2024-10-22,Oct,35.3,4001301402
2024-10-22,Oct,48.9,4001304702
2024-10-22,Oct,4.3,4001306302
2024-10-21,Oct,1.2,4001301702
2024-10-22,Oct,20.6,4001302902
2024-10-21,Oct,28.6,4001309202
2024-10-21,Oct,83.3,4001304202
2024-10-21,Oct,0.6,4001304102
2024-10-22,Oct,4.0,4001309602
2024-12-02,Dec,9.1,6018000202
2024-04-15,Apr,8.7,8013500602
2024-04-15,Apr,86.5,8013500502
2024-12-02,Dec,17.0,17003700302
2024-12-02,Dec,11.6,6018300202
2024-09-17,Sep,372.0,4001308102
2024-03-18,Mar,4.5,3003600902
2024-03-18,Mar,7.5,3003600502
2024-03-18,Mar,10.2,3001700202
2024-06-19,Jun,66.4,4001308202
2024-06-18,Jun,59.1,4001310902
2024-06-18,Jun,145.0,16007200102
2024-06-18,Jun,134.0,4001308102
2024-06-18,Jun,104.0,16006300202
2024-06-18,Jun,58.8,4001307302
2024-02-05,Feb,19.7,3005702802
2024-04-09,Apr,8.0,8012305002
2024-02-05,Feb,45.4,3005703502
2024-02-05,Feb,23.1,3005702102
2024-02-05,Feb,62.4,3005703202
2024-02-05,Feb,50.9,3005703102
2024-10-21,Oct,8.0,4001309002
2024-10-21,Oct,125.0,4001308902
2024-10-22,Oct,0.6,4001308602
2024-03-18,Mar,33.4,3001500202
2024-09-18,Sep,144.0,4001311002
2024-03-09,Mar,42.9,8012305602
2024-03-09,Mar,23.7,8012303002
2024-03-09,Mar,33.9,8010300102
2024-10-09,Oct,113.0,12002700102
2024-10-09,Oct,45.4,12003100102
2024-03-09,Mar,25.9,8010700502
2024-03-09,Mar,12.6,8012300202
2024-09-18,Sep,1450.0,4001303302
2024-09-17,Sep,100.0,4001307302
2024-06-19,Jun,341.0,4001303302
2024-06-18,Jun,14.0,4001305702
2024-09-16,Sep,101.0,4001302502
2024-09-17,Sep,25.4,4001302902
2024-11-19,Nov,27.6,8002100202
2024-04-15,Apr,24.9,17003700302
2024-12-11,Dec,73.1,16018412802
2024-12-11,Dec,8.8,16018402702
2024-10-09,Oct,30.8,12001700102
2024-10-09,Oct,30.6,12003400102
2024-10-09,Oct,32.1,12000400202
2024-11-11,Nov,29.2,16015900302
2024-11-11,Nov,43.3,16010900702
2024-10-22,Oct,129.0,8002201902
2024-10-22,Oct,77.2,8002201202
2024-09-09,Sep,18.9,12001700202
2024-08-20,Aug,72.4,4001301402
2024-03-07,Mar,25.8,8012305902
2024-03-07,Mar,8.2,8012305002
2024-10-22,Oct,1.0,16018410102
2024-10-22,Oct,10.6,16018401502
