Collected date [YYYY-MM-DD],Month,Iron [ug/L],Collection site
2024-05-28,May,443.0,9000800702
2024-05-14,May,22.2,17002106702
2024-09-24,Sep,142.0,17002115602
2024-07-17,Jul,376.0,6007600502
2024-10-07,Oct,369.0,6006000702
2024-10-07,Oct,1790.0,6005900102
2024-09-24,Sep,105.0,17002107102
2024-08-21,Aug,87.8,6007602202
2024-07-17,Jul,541.0,6007600802
2024-08-21,Aug,214.0,6007601602
2024-09-16,Sep,102.0,4001302502
2024-09-24,Sep,171.0,17002104602
2024-09-24,Sep,48.5,17002111802
2024-10-09,Oct,80.0,17002114002
2024-10-09,Oct,181.0,17002103802
2024-10-09,Oct,23.2,17002100802
2024-10-09,Oct,72.3,17002105202
2024-05-14,May,42.2,17002106502
2024-11-09,Nov,77.0,17002100702
2024-05-14,May,62.6,17002114102
2024-06-18,Jun,115.0,8007600102
2024-06-18,Jun,232.0,8005603902
2024-05-14,May,105.0,17002100702
2024-06-18,Jun,69.5,8005600302
2024-06-18,Jun,40.7,8005600202
2024-05-06,May,70.8,6006301202
2024-09-24,Sep,44.8,17002153802
2024-08-26,Aug,35.0,17002105702
2024-08-26,Aug,138.0,17002115602
2024-06-18,Jun,18.3,8005600102
2024-09-07,Sep,296.0,8007600102
2024-10-23,Oct,81.2,6007605102
2024-09-07,Sep,104.0,8005600302
2024-10-23,Oct,24.8,6007605002
2024-10-23,Oct,135.0,6007600602
2024-10-23,Oct,87.1,6007601802
2024-10-23,Oct,50.0,6007601002
2024-05-06,May,111.0,6006000702
2024-08-19,Aug,160.0,4001304402
2024-08-19,Aug,492.0,4001301702
2024-05-13,May,95.2,17002114002
2024-08-26,Aug,46.0,17002111802
2024-06-25,Jun,93.2,9000100402
2024-06-25,Jun,43.2,6005000202
2024-06-25,Jun,257.0,9000800502
2024-06-25,Jun,384.0,9000800602
2024-06-25,Jun,198.0,9000800702
2024-06-25,Jun,85.7,9000100502
2024-05-13,May,47.5,17002100802
2024-07-17,Jul,178.0,6007600602
2024-07-17,Jul,122.0,6007601502
2024-07-17,Jul,348.0,6007602202
2024-05-13,May,65.4,17002107702
2024-07-23,Jul,342.0,9000800602
2024-07-17,Jul,313.0,6007605202
2024-05-06,May,273.0,9000902402
2024-11-09,Nov,18.2,17002106502
2024-11-09,Nov,34.8,17002114102
2024-05-06,May,80.0,6006300102
2024-05-06,May,160.0,6006301102
2024-07-17,Jul,185.0,6007605102
2024-11-09,Nov,36.9,17002106702
2024-09-04,Sep,56.1,17002100702
2024-09-04,Sep,27.3,17002106702
2024-08-05,Aug,171.0,6006100302
2024-08-19,Aug,194.0,4001306402
2024-08-10,Aug,138.0,17002103802
2024-08-19,Aug,257.0,4001301602
2024-09-07,Sep,44.1,8005600202
2024-06-19,Jun,150.0,6007601802
2024-08-05,Aug,405.0,6006301102
2024-07-23,Jul,101.0,17002113302
2024-07-23,Jul,42.5,17002105702
2024-07-16,Jul,900.0,4001302902
2024-07-23,Jul,96.0,17002111802
2024-06-19,Jun,291.0,6007600802
2024-06-19,Jun,68.4,6007602202
