Station name,Station number,Total samples (PWQO analytes),% total exceedances (PWQO analytes),Risk tier,N Aluminum [ug/L],% exceed Aluminum,N Arsenic [ug/L],% exceed Arsenic,N Boron [ug/L],% exceed Boron,N Cadmium [ug/L],% exceed Cadmium,N Chromium [ug/L],% exceed Chromium,N Copper [ug/L],% exceed Copper,N E. coli [MPN / 100mL],% exceed E. coli,N Iron [ug/L],% exceed Iron,N Lead [ug/L],% exceed Lead,N Mercury [ng/L],% exceed Mercury,N Nickel [ug/L],% exceed Nickel,N Total Phosphorus [ug/L],% exceed Total Phosphorus,N Selenium [ug/L],% exceed Selenium,N Silver [ug/L],% exceed Silver,N Zinc [ug/L],% exceed Zinc,N pH [SU],% exceed pH,station_padded_id,Station name matched
Innisfil Creek,03005703102,79,30.38,Tier 3,7,100.0,0,,0,,7,0.0,7,42.86,7,28.57,0,,7,85.71,7,0.0,0,,7,0.0,8,75.0,0,,7,0.0,7,0.0,8,0.0,03005703102,True
Junction Creek,14002800302,87,29.89,Tier 3,7,0.0,0,,0,,7,0.0,7,0.0,7,71.43,0,,7,0.0,7,0.0,0,,7,100.0,12,100.0,0,,7,0.0,7,0.0,12,16.67,14002800302,True
Thames River,04001308302,77,29.87,Tier 3,7,100.0,0,,0,,7,0.0,7,42.86,7,14.29,0,,7,71.43,7,0.0,0,,7,0.0,7,85.71,0,,6,0.0,7,14.29,8,0.0,04001308302,True
The Cut(Ausable River),08002100202,94,29.79,Tier 3,8,100.0,0,,0,,8,12.5,8,25.0,8,12.5,0,,8,62.5,8,0.0,0,,8,0.0,11,81.82,0,,8,0.0,8,12.5,11,9.09,08002100202,True
Decker Creek,08002201902,94,29.79,Tier 3,8,100.0,0,,0,,8,25.0,8,25.0,8,12.5,0,,8,37.5,8,0.0,0,,8,0.0,11,81.82,0,,8,0.0,8,12.5,11,18.18,08002201902,True
Dingman Creek,04001302902,78,29.49,Tier 3,7,100.0,0,,0,,7,0.0,6,33.33,7,0.0,0,,7,100.0,7,0.0,0,,7,0.0,8,75.0,0,,7,0.0,7,14.29,8,0.0,04001302902,True
Sydenham River,04002700702,24,29.17,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,58.33,0,,0,,0,,12,0.0,04002700702,True
La Vase River,03013301502,77,28.57,Tier 3,7,85.71,0,,0,,7,0.0,7,28.57,7,14.29,0,,7,100.0,7,0.0,0,,7,0.0,7,85.71,0,,7,0.0,7,0.0,7,0.0,03013301502,True
Fairchild Creek,16018409302,70,28.57,Tier 3,6,100.0,0,,0,,6,16.67,6,0.0,6,0.0,0,,6,100.0,6,0.0,0,,6,0.0,8,75.0,0,,6,0.0,6,16.67,8,0.0,16018409302,True
Black Creek,06011200602,14,28.57,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,57.14,0,,0,,0,,7,0.0,06011200602,True
Beaver Creek,16008700602,78,28.21,Tier 3,7,100.0,0,,0,,7,0.0,6,33.33,7,0.0,0,,7,71.43,7,0.0,0,,7,0.0,8,100.0,0,,7,0.0,7,0.0,8,0.0,16008700602,True
Twenty Mile Creek,06002400102,83,27.71,Tier 3,7,100.0,0,,0,,7,14.29,7,14.29,7,0.0,0,,7,57.14,7,0.0,0,,7,0.0,10,100.0,0,,7,0.0,7,0.0,10,0.0,06002400102,True
Welland River,11000101202,83,27.71,Tier 3,7,100.0,0,,0,,7,0.0,7,14.29,7,0.0,0,,7,71.43,7,0.0,0,,7,0.0,10,100.0,0,,7,0.0,7,0.0,10,0.0,11000101202,True
Beaudette River,12008000302,77,27.27,Tier 3,7,100.0,0,,0,,7,28.57,7,14.29,7,0.0,0,,7,57.14,6,0.0,0,,7,0.0,8,75.0,0,,6,0.0,7,14.29,8,0.0,12008000302,True
Avon River,04001302502,85,27.06,Tier 3,7,71.43,0,,0,,7,0.0,7,28.57,7,14.29,0,,7,42.86,7,0.0,0,,7,0.0,11,100.0,0,,7,0.0,7,14.29,11,0.0,04001302502,True
Delisle River,12008600102,78,26.92,Tier 3,7,100.0,0,,0,,7,28.57,7,14.29,7,0.0,0,,7,0.0,7,0.0,0,,7,0.0,8,75.0,0,,6,0.0,7,71.43,8,0.0,12008600102,True
Humber River West,06008310302,78,26.92,Tier 3,7,100.0,0,,0,,7,0.0,7,28.57,7,14.29,0,,7,85.71,7,0.0,0,,7,0.0,8,62.5,0,,7,0.0,6,0.0,8,0.0,06008310302,True
Humber River,06008301902,157,26.75,Tier 3,12,75.0,2,0.0,2,0.0,12,0.0,11,18.18,12,8.33,11,100.0,12,58.33,12,0.0,11,0.0,12,0.0,11,81.82,2,0.0,12,0.0,11,18.18,12,8.33,06008301902,True
Marl Creek,03005703702,15,26.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,57.14,0,,0,,0,,8,0.0,03005703702,True
Hospital Creek,17000900102,15,26.67,Tier 3,0,,0,,0,,0,,0,,0,,5,40.0,0,,0,,0,,0,,5,40.0,0,,0,,0,,5,0.0,17000900102,True
Cedar Creek,04001301702,79,26.58,Tier 3,7,71.43,0,,0,,7,0.0,7,28.57,7,28.57,0,,7,57.14,7,0.0,0,,7,0.0,8,75.0,0,,7,0.0,7,28.57,8,0.0,04001301702,True
Duchesnay River,03013301302,84,26.19,Tier 3,6,100.0,0,,0,,7,0.0,7,14.29,7,57.14,0,,7,100.0,7,0.0,0,,7,0.0,11,9.09,0,,7,0.0,7,0.0,11,27.27,03013301302,True
Etobicoke Creek West,06008000702,84,26.19,Tier 3,7,57.14,0,,0,,7,0.0,6,16.67,7,42.86,0,,7,42.86,7,0.0,0,,7,0.0,11,81.82,0,,7,0.0,7,28.57,11,0.0,06008000702,True
