Station number,Station name,Risk tier (original),Risk tier (clean),LATITUDE,LONGITUDE
12001700202,Gananoque River,Tier 3,Tier 3,44.54612089,-76.12024373
08005603502,Little Maitland River,Tier 3,Tier 3,43.79870264,-81.16987211
03001500202,Pottawatomi River,Tier 3,Tier 3,44.57429939,-80.96008648
16018410602,Whitemans Creek,Tier 3,Tier 3,43.12609589,-80.38370323
03007702902,Holland River,Tier 3,Tier 3,44.01385739,-79.67910198
03007703502,Uxbirdge Brook,Tier 3,Tier 3,44.13775764,-79.11259961
03005703002,Willow Creek,Tier 3,Tier 3,44.42213889,-79.82357036
03005703002,Willow Creek,Tier 3,Tier 3,44.42213889,-79.82357036
03005703002,Willow Creek,Tier 3,Tier 3,44.42213889,-79.82357036
03005703002,Willow Creek,Tier 3,Tier 3,44.42213889,-79.82357036
06012900102,Ganaraska River,Tier 3,Tier 3,43.94788839,-78.29237698
03005703602,Black Creek,Tier 3,Tier 3,44.41881476,-79.82061923
03013301902,Chippewa Creek,Tier 3,Tier 3,46.301073,-79.459227
14002803002,Whitson River,Tier 3,Tier 3,46.53756177,-81.26590261
09000800602,Spencer Creek,Tier 3,Tier 3,43.28300414,-80.05308886
09000800502,Spencer Creek,Tier 3,Tier 3,43.26519314,-79.96422961
14002808902,Lily Creek,Tier 2,Tier 2,46.47268839,-80.99619573
03007702102,Mount Albert Creek,Tier 2,Tier 2,44.16663039,-79.32748086
12003400102,Butlers Creek,Tier 2,Tier 2,44.58559714,-75.69108773
06011600102,Bowmanville Creek,Tier 2,Tier 2,43.89429201,-78.67502098
18207006002,Scotch River East,Tier 2,Tier 2,45.37399664,-74.90711423
03007000402,Wye River,Tier 2,Tier 2,44.64988101,-79.90361398
03007700702,Aurora Creek,Tier 2,Tier 2,44.02220026,-79.47285473
06009701802,Bruce Creek,Tier 2,Tier 2,43.89673301,-79.32307036
06006000702,Bronte Creek,Tier 2,Tier 2,43.39559389,-79.72279548
08010300102,Pine River,Tier 2,Tier 2,44.09370139,-81.72707486
18000036002,Ottawa River,Tier 2,Tier 2,46.372615,-78.725639
01010600202,Mc Intyre River,Tier 2,Tier 2,48.39965814,-89.24543749
14002801202,Onaping River,Tier 2,Tier 2,46.60479002,-81.38126998
06007605002,Credit River,Tier 2,Tier 2,43.54919451,-79.63327273
06007600502,Black Creek,Tier 2,Tier 2,43.62759439,-80.02209311
03005703402,Coates Creek,Tier 2,Tier 2,44.36138051,-79.94164286
03005702102,Mad River,Tier 2,Tier 2,44.30520214,-80.00167986
03005702102,Mad River,Tier 2,Tier 2,44.30520214,-80.00167986
03005702102,Mad River,Tier 2,Tier 2,44.30520214,-80.00167986
03005702102,Mad River,Tier 2,Tier 2,44.30520214,-80.00167986
