Station name,Station number,Total samples (PWQO analytes),% total exceedances (PWQO analytes),Risk tier,N Aluminum [ug/L],% exceed Aluminum,N Arsenic [ug/L],% exceed Arsenic,N Boron [ug/L],% exceed Boron,N Cadmium [ug/L],% exceed Cadmium,N Chromium [ug/L],% exceed Chromium,N Copper [ug/L],% exceed Copper,N E. coli [MPN / 100mL],% exceed E. coli,N Iron [ug/L],% exceed Iron,N Lead [ug/L],% exceed Lead,N Mercury [ng/L],% exceed Mercury,N Nickel [ug/L],% exceed Nickel,N Total Phosphorus [ug/L],% exceed Total Phosphorus,N Selenium [ug/L],% exceed Selenium,N Silver [ug/L],% exceed Silver,N Zinc [ug/L],% exceed Zinc,N pH [SU],% exceed pH
,4001309402,8,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,0.0
,4001309802,8,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,0.0
,4001309002,8,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,0.0
,4001301402,8,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,0.0
,4001309202,8,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,0.0
Oswego Creek,11000101302,83,37.35,Tier 3,7,100.0,0,,0,,7,28.57,7,57.14,7,14.29,0,,7,100.0,7,0.0,0,,7,0.0,10,100.0,0,,7,0.0,7,0.0,10,0.0
Muddy Creek,16003200202,67,37.31,Tier 3,6,100.0,0,,0,,6,16.67,6,16.67,6,0.0,0,,6,66.67,6,0.0,0,,6,0.0,7,100.0,0,,5,0.0,6,100.0,7,0.0
South Nation River,18207002002,70,37.14,Tier 3,6,100.0,0,,0,,6,0.0,6,100.0,6,16.67,0,,6,100.0,6,0.0,0,,6,0.0,8,87.5,0,,6,0.0,6,0.0,8,0.0
Sturgeon River,16002700102,74,36.49,Tier 3,6,66.67,0,,0,,6,0.0,6,0.0,6,66.67,0,,6,50.0,6,0.0,0,,6,0.0,10,100.0,0,,6,0.0,6,100.0,10,0.0
,8002202002,22,36.36,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11,63.64,0,,0,,0,,11,9.09
