Event,Plant,Microorganism,Influent_raw,Effluent_raw,Influent_used,Effluent_used,Effluent_detected_flag,LRV [log10]
Event 09,NoWe,Giardia,800,25.5,800.0,25.5,Detected,1.4965498065579883
Event 10,BiSp,Giardia,230,3.47,230.0,3.47,Detected,1.821398361226719
Event 10,BrWo,Giardia,80,2.54,80.0,2.54,Detected,1.4982562703720055
Event 10,NoWe,Giardia,290,21.84,290.0,21.84,Detected,1.1231453638662565
Event 11,BiSp,Giardia,22840,0.89,22840.0,0.89,Detected,4.409306092928897
Event 11,BrWo,Giardia,1080,72.1,1080.0,72.1,Detected,1.1754884907675207
Event 11,NoWe,Giardia,160,0.72,160.0,0.72,Detected,2.3467874862246565
Event 12,BiSp,Giardia,7070,0.44,7070.0,0.44,Detected,4.205966737310712
Event 12,BrWo,Giardia,3140,76.96,3140.0,76.96,Detected,1.6106645890434583
Event 12,NoWe,Giardia,610,80.01,610.0,80.01,Detected,0.8821855646012284
Event 13,BiSp,Giardia,6920,6.05,6920.0,6.05,Detected,3.058350719804289
Event 13,BrWo,Giardia,410,4.46,410.0,4.46,Detected,1.9634489980075935
Event 13,NoWe,Giardia,210,3.63,210.0,3.63,Detected,1.7623126696978066
Event 14,BiSp,Giardia,1910,2.01,1910.0,2.01,Detected,2.9778373098272386
Event 14,BrWo,Giardia,90,11.39,90.0,11.39,Detected,0.8977187853602245
Event 14,NoWe,Giardia,250,41.82,250.0,41.82,Detected,0.7765559801903845
Event 15,BiSp,Giardia,9310,0.54,9310.0,0.54,Detected,4.2365559211583745
Event 15,BrWo,Giardia,120,35.2,120.0,35.2,Detected,0.5326385825694938
Event 15,NoWe,Giardia,70,54.77,70.0,54.77,Detected,0.10655529908547162
Event 16,BiSp,Giardia,870,0.11,870.0,0.11,Detected,3.8981265674603933
Event 16,NoWe,Giardia,840,3.34,840.0,3.34,Detected,2.400532819250317
Event 01,BiSp,Male-specific coliphage,9450,10,9450.0,10.0,Detected,2.975431808509263
Event 01,NoWe,Male-specific coliphage,5250,0,5250.0,1.0,Non-detect,3.720159303405957
Event 02,BiSp,Male-specific coliphage,5800,0,5800.0,1.0,Non-detect,3.7634279935629373
Event 02,BrWo,Male-specific coliphage,5250,0,5250.0,1.0,Non-detect,3.720159303405957
Event 02,NoWe,Male-specific coliphage,1600,0,1600.0,1.0,Non-detect,3.204119982655925
Event 03,BiSp,Male-specific coliphage,11700,0,11700.0,1.0,Non-detect,4.068185861746161
Event 03,BrWo,Male-specific coliphage,3000,0,3000.0,1.0,Non-detect,3.4771212547196626
