Plant,Event,Indicator_LRV,Giardia_LRV,Giardia_effluent_detection,Indicator
NoWe,Event 04,1.7160033436347992,1.3523376509874194,Detected,Male-specific coliphage
BiSp,Event 04,3.361727836017593,1.5575202309355514,Detected,Male-specific coliphage
BrWo,Event 05,1.8750612633917,1.8289295423193697,Detected,Male-specific coliphage
NoWe,Event 05,2.4771212547196626,1.1595802222635139,Detected,Male-specific coliphage
BiSp,Event 05,1.3010299956639813,2.3010299956639813,Non-detect,Male-specific coliphage
BrWo,Event 06,3.5563025007672873,2.715360420524188,Detected,Male-specific coliphage
NoWe,Event 06,2.5854607295085006,1.3267486367861507,Detected,Male-specific coliphage
BiSp,Event 06,3.720159303405957,4.809138682627592,Detected,Male-specific coliphage
BrWo,Event 07,1.0,2.193581991216017,Detected,Male-specific coliphage
NoWe,Event 07,3.0253058652647704,0.9340470196861304,Detected,Male-specific coliphage
BrWo,Event 08,3.4479328655921804,2.119989170391219,Detected,Male-specific coliphage
NoWe,Event 08,3.277609214304091,1.5388179463817853,Detected,Male-specific coliphage
BrWo,Event 09,3.1917303933628562,1.2784641677652397,Detected,Male-specific coliphage
NoWe,Event 09,2.9934362304976116,1.4965498065579883,Detected,Male-specific coliphage
BiSp,Event 09,3.6989700043360187,1.0032694845648473,Detected,Male-specific coliphage
BrWo,Event 10,3.164352855784437,1.4982562703720055,Detected,Male-specific coliphage
NoWe,Event 10,3.5622928644564746,1.1231453638662565,Detected,Male-specific coliphage
BiSp,Event 10,3.469822015978163,1.821398361226719,Detected,Male-specific coliphage
BrWo,Event 11,2.926856708949692,1.1754884907675207,Detected,Male-specific coliphage
NoWe,Event 11,3.4207806195485655,2.3467874862246565,Detected,Male-specific coliphage
BiSp,Event 11,3.449478399187365,4.409306092928897,Detected,Male-specific coliphage
BrWo,Event 12,3.781755374652469,1.6106645890434583,Detected,Male-specific coliphage
NoWe,Event 12,3.5118833609788744,0.8821855646012284,Detected,Male-specific coliphage
BiSp,Event 12,3.781755374652469,4.205966737310712,Detected,Male-specific coliphage
BrWo,Event 13,3.346352974450639,1.9634489980075935,Detected,Male-specific coliphage
NoWe,Event 13,3.8692317197309762,1.7623126696978066,Detected,Male-specific coliphage
BiSp,Event 13,3.6434526764861874,3.058350719804289,Detected,Male-specific coliphage
BrWo,Event 14,3.0791812460476247,0.8977187853602245,Detected,Male-specific coliphage
NoWe,Event 14,3.3085644135612386,0.7765559801903845,Detected,Male-specific coliphage
BiSp,Event 14,3.7442929831226763,2.9778373098272386,Detected,Male-specific coliphage
BrWo,Event 15,2.8836614351536176,0.5326385825694938,Detected,Male-specific coliphage
NoWe,Event 15,3.399673721481038,0.10655529908547162,Detected,Male-specific coliphage
BiSp,Event 15,3.484299839346786,4.2365559211583745,Detected,Male-specific coliphage
NoWe,Event 16,3.1020905255118367,2.400532819250317,Detected,Male-specific coliphage
BiSp,Event 16,3.7363965022766426,3.8981265674603933,Detected,Male-specific coliphage
NoWe,Event 01,1.4881166390211256,2.0091433794398696,Detected,Aerobic endospores
BrWo,Event 02,1.1802078252505135,4.010299956639812,Detected,Aerobic endospores
NoWe,Event 02,2.91204482964487,2.2854926010746834,Detected,Aerobic endospores
BiSp,Event 02,0.6258629060005871,0.8099185435432892,Detected,Aerobic endospores
BrWo,Event 03,1.2118068113222158,2.5217750738301903,Detected,Aerobic endospores
NoWe,Event 03,1.5606673061697374,2.181941468152963,Detected,Aerobic endospores
BiSp,Event 03,1.2808266095756942,2.9030899869919438,Non-detect,Aerobic endospores
BrWo,Event 04,2.282546589969968,1.9614366048606393,Detected,Aerobic endospores
NoWe,Event 04,2.146128035678238,1.3523376509874194,Detected,Aerobic endospores
BiSp,Event 04,1.785156151952302,1.5575202309355514,Detected,Aerobic endospores
BrWo,Event 05,2.025554104472388,1.8289295423193697,Detected,Aerobic endospores
NoWe,Event 05,1.6264193371874072,1.1595802222635139,Detected,Aerobic endospores
BiSp,Event 05,2.3010299956639813,2.3010299956639813,Non-detect,Aerobic endospores
BrWo,Event 06,2.0969100130080562,2.715360420524188,Detected,Aerobic endospores
NoWe,Event 06,1.8750612633917,1.3267486367861507,Detected,Aerobic endospores
BiSp,Event 06,1.6058529803451014,4.809138682627592,Detected,Aerobic endospores
BrWo,Event 07,0.994920474470725,2.193581991216017,Detected,Aerobic endospores
NoWe,Event 07,1.2617202616540486,0.9340470196861304,Detected,Aerobic endospores
BrWo,Event 08,1.7738298766010012,2.119989170391219,Detected,Aerobic endospores
NoWe,Event 08,1.4436974992327127,1.5388179463817853,Detected,Aerobic endospores
BiSp,Event 08,1.1396619934290064,2.8174451662703603,Detected,Aerobic endospores
BrWo,Event 09,1.8703661421833202,1.2784641677652397,Detected,Aerobic endospores
NoWe,Event 09,1.5740312677277188,1.4965498065579883,Detected,Aerobic endospores
BiSp,Event 09,3.2937307569224816,1.0032694845648473,Detected,Aerobic endospores
BrWo,Event 10,1.146128035678238,1.4982562703720055,Detected,Aerobic endospores
NoWe,Event 10,0.5992670911437923,1.1231453638662565,Detected,Aerobic endospores
BiSp,Event 10,0.8908555305749319,1.821398361226719,Detected,Aerobic endospores
BrWo,Event 11,1.21289390696343,1.1754884907675207,Detected,Aerobic endospores
NoWe,Event 11,1.4586378490256493,2.3467874862246565,Detected,Aerobic endospores
BiSp,Event 11,0.9272528639577851,4.409306092928897,Detected,Aerobic endospores
BrWo,Event 12,1.1760912590556813,1.6106645890434583,Detected,Aerobic endospores
NoWe,Event 12,0.6912831756697279,0.8821855646012284,Detected,Aerobic endospores
BiSp,Event 12,1.1760912590556813,4.205966737310712,Detected,Aerobic endospores
BrWo,Event 13,1.166331421766525,1.9634489980075935,Detected,Aerobic endospores
NoWe,Event 13,1.154901959985743,1.7623126696978066,Detected,Aerobic endospores
BiSp,Event 13,1.166331421766525,3.058350719804289,Detected,Aerobic endospores
BrWo,Event 14,1.146128035678238,0.8977187853602245,Detected,Aerobic endospores
NoWe,Event 14,0.8908555305749319,0.7765559801903845,Detected,Aerobic endospores
BiSp,Event 14,1.6734158998636306,2.9778373098272386,Detected,Aerobic endospores
BrWo,Event 15,1.3944516808262164,0.5326385825694938,Detected,Aerobic endospores
NoWe,Event 15,1.0917703733556454,0.10655529908547162,Detected,Aerobic endospores
BiSp,Event 15,2.046300019652969,4.2365559211583745,Detected,Aerobic endospores
NoWe,Event 16,0.4259687322722811,2.400532819250317,Detected,Aerobic endospores
BiSp,Event 16,0.3979400086720376,3.8981265674603933,Detected,Aerobic endospores
