Plant,Event,Indicator_LRV [log10],Adenovirus_LRV [log10],Indicator
BiSp,Event 03,4.068185861746161,5.550167180510179,Male-specific coliphage
BrWo,Event 04,2.113943352306837,3.322219294733919,Male-specific coliphage
NoWe,Event 04,1.7160033436347992,4.8850783841492245,Male-specific coliphage
BiSp,Event 04,3.361727836017593,2.3979400086720375,Male-specific coliphage
BrWo,Event 05,1.8750612633917,5.352471951298952,Male-specific coliphage
NoWe,Event 05,2.4771212547196626,5.140822180109311,Male-specific coliphage
BiSp,Event 05,1.3010299956639813,1.8750612633917,Male-specific coliphage
BrWo,Event 06,3.5563025007672873,5.161143309042809,Male-specific coliphage
NoWe,Event 06,2.5854607295085006,2.7781512503836434,Male-specific coliphage
BiSp,Event 06,3.720159303405957,5.29255140933583,Male-specific coliphage
BrWo,Event 07,1.0,2.929418925714293,Male-specific coliphage
NoWe,Event 07,3.0253058652647704,2.6532125137753435,Male-specific coliphage
BrWo,Event 08,3.4479328655921804,5.0700378666077555,Male-specific coliphage
NoWe,Event 08,3.277609214304091,5.164293359314462,Male-specific coliphage
BrWo,Event 09,3.1917303933628562,2.929418925714293,Male-specific coliphage
NoWe,Event 09,2.9934362304976116,4.671305108433146,Male-specific coliphage
BiSp,Event 09,3.6989700043360187,2.0529360751877985,Male-specific coliphage
BrWo,Event 10,3.164352855784437,3.230448921378274,Male-specific coliphage
NoWe,Event 10,3.5622928644564746,1.7294872343016165,Male-specific coliphage
BiSp,Event 10,3.469822015978163,5.166726055580051,Male-specific coliphage
BrWo,Event 11,2.926856708949692,2.9030899869919438,Male-specific coliphage
NoWe,Event 11,3.4207806195485655,5.23578087032756,Male-specific coliphage
BiSp,Event 11,3.449478399187365,4.535452361794167,Male-specific coliphage
BrWo,Event 12,3.781755374652469,2.6989700043360187,Male-specific coliphage
NoWe,Event 12,3.5118833609788744,6.0379574203562605,Male-specific coliphage
BiSp,Event 12,3.781755374652469,4.996453295316682,Male-specific coliphage
NoWe,Event 13,3.8692317197309762,5.213252052196396,Male-specific coliphage
BiSp,Event 13,3.6434526764861874,1.853871964321762,Male-specific coliphage
BrWo,Event 14,3.0791812460476247,2.8129133566428557,Male-specific coliphage
NoWe,Event 14,3.3085644135612386,3.8670923337204246,Male-specific coliphage
BiSp,Event 14,3.7442929831226763,3.0061603087048185,Male-specific coliphage
BrWo,Event 15,2.8836614351536176,2.929418925714293,Male-specific coliphage
NoWe,Event 15,3.399673721481038,1.1521532515575923,Male-specific coliphage
BiSp,Event 15,3.484299839346786,2.276206411938949,Male-specific coliphage
BrWo,Event 16,2.8808135922807914,3.8543060418010806,Male-specific coliphage
NoWe,Event 16,3.1020905255118367,1.7383491950656749,Male-specific coliphage
BiSp,Event 16,3.7363965022766426,2.6020599913279625,Male-specific coliphage
NoWe,Event 01,1.4881166390211256,3.8573324964312685,Aerobic endospores
BrWo,Event 02,1.1802078252505135,4.871572935545879,Aerobic endospores
NoWe,Event 02,2.91204482964487,5.775574042919629,Aerobic endospores
BiSp,Event 02,0.6258629060005871,2.6020599913279625,Aerobic endospores
BrWo,Event 03,1.2118068113222158,2.6532125137753435,Aerobic endospores
NoWe,Event 03,1.5606673061697374,4.17897694729317,Aerobic endospores
BiSp,Event 03,1.2808266095756942,5.550167180510179,Aerobic endospores
BrWo,Event 04,2.282546589969968,3.322219294733919,Aerobic endospores
NoWe,Event 04,2.146128035678238,4.8850783841492245,Aerobic endospores
BiSp,Event 04,1.785156151952302,2.3979400086720375,Aerobic endospores
BrWo,Event 05,2.025554104472388,5.352471951298952,Aerobic endospores
NoWe,Event 05,1.6264193371874072,5.140822180109311,Aerobic endospores
BiSp,Event 05,2.3010299956639813,1.8750612633917,Aerobic endospores
BrWo,Event 06,2.0969100130080562,5.161143309042809,Aerobic endospores
NoWe,Event 06,1.8750612633917,2.7781512503836434,Aerobic endospores
BiSp,Event 06,1.6058529803451014,5.29255140933583,Aerobic endospores
BrWo,Event 07,0.994920474470725,2.929418925714293,Aerobic endospores
NoWe,Event 07,1.2617202616540486,2.6532125137753435,Aerobic endospores
BrWo,Event 08,1.7738298766010012,5.0700378666077555,Aerobic endospores
NoWe,Event 08,1.4436974992327127,5.164293359314462,Aerobic endospores
BiSp,Event 08,1.1396619934290064,2.8260748027008264,Aerobic endospores
