Plant,Event,Indicator_LRV [log10],Cryptosporidium_LRV [log10],Indicator
BiSp,Event 11,3.449478399187365,2.954610711650361,Male-specific coliphage
NoWe,Event 12,3.5118833609788744,1.2839966563652008,Male-specific coliphage
BiSp,Event 12,3.781755374652469,4.36408174141107,Male-specific coliphage
BiSp,Event 13,3.6434526764861874,1.1056839373155616,Male-specific coliphage
BrWo,Event 14,3.0791812460476247,1.585026652029182,Male-specific coliphage
BiSp,Event 15,3.484299839346786,3.0969100130080562,Male-specific coliphage
NoWe,Event 16,3.1020905255118367,2.6020599913279625,Male-specific coliphage
NoWe,Event 01,1.4881166390211256,1.5686362358410126,Aerobic endospores
BrWo,Event 02,1.1802078252505135,2.9030899869919438,Aerobic endospores
BrWo,Event 03,1.2118068113222158,2.5228787452803374,Aerobic endospores
NoWe,Event 03,1.5606673061697374,1.7695510786217261,Aerobic endospores
BiSp,Event 03,1.2808266095756942,2.0,Aerobic endospores
BrWo,Event 04,2.282546589969968,2.494850021680094,Aerobic endospores
BrWo,Event 05,2.025554104472388,1.8860566476931633,Aerobic endospores
BrWo,Event 06,2.0969100130080562,1.619788758288394,Aerobic endospores
NoWe,Event 06,1.8750612633917,2.427495252233754,Aerobic endospores
BiSp,Event 06,1.6058529803451014,1.8367095643237517,Aerobic endospores
BrWo,Event 07,0.994920474470725,1.5466816599529625,Aerobic endospores
NoWe,Event 07,1.2617202616540486,2.009759837289156,Aerobic endospores
BrWo,Event 08,1.7738298766010012,1.1870866433571443,Aerobic endospores
NoWe,Event 08,1.4436974992327127,0.971123872263771,Aerobic endospores
BiSp,Event 08,1.1396619934290064,0.7682756166714835,Aerobic endospores
NoWe,Event 09,1.5740312677277188,2.958607314841775,Aerobic endospores
BiSp,Event 09,3.2937307569224816,2.0568464627262877,Aerobic endospores
BrWo,Event 10,1.146128035678238,2.6989700043360187,Aerobic endospores
NoWe,Event 10,0.5992670911437923,1.3665315444204134,Aerobic endospores
BiSp,Event 10,0.8908555305749319,3.7182751595314056,Aerobic endospores
BrWo,Event 11,1.21289390696343,1.2757241303992108,Aerobic endospores
NoWe,Event 11,1.4586378490256493,3.0,Aerobic endospores
BiSp,Event 11,0.9272528639577851,2.954610711650361,Aerobic endospores
NoWe,Event 12,0.6912831756697279,1.2839966563652008,Aerobic endospores
BiSp,Event 12,1.1760912590556813,4.36408174141107,Aerobic endospores
BiSp,Event 13,1.166331421766525,1.1056839373155616,Aerobic endospores
BrWo,Event 14,1.146128035678238,1.585026652029182,Aerobic endospores
BiSp,Event 15,2.046300019652969,3.0969100130080562,Aerobic endospores
NoWe,Event 16,0.4259687322722811,2.6020599913279625,Aerobic endospores
